
[['5' '8' '386' '239']
 ['100' '30' '110' '177']
 ['214' '40' '38' '82']
 ['231' '111' '80' '83']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']]
[['5' '8' '386' '239']
 ['44' '59' '124' '209']
 ['200' '42' '187' '222']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']]
[['5' '8' '386' '239']
 ['73' '15' '110' '215']
 ['195' '68' '137' '155']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']]
[['5' '8' '386' '239']
 ['103' '68' '100' '174']
 ['213' '62' '94' '175']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']]
[['5' '8' '386' '239']
 ['3' '44' '107' '108']
 ['93' '9' '78' '156']
 ['171' '38' '62' '135']
 ['240' '48' '84' '128']
 ['320' '29' '66' '125']
 ['0' '0' '0' '0']
 ['0' '0' '0' '0']]
